preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
530000;CENTRO;Apartamento;;Pelotas RS;3;1;1;195
640000;TRES VENDAS;Casa;Avenida Republica do Libano;Pelotas RS;3;1;2;225
27000;Santa Terezinha;Box/Garagem;Endereco Nao Informado;Pelotas RS;;0;1;12
325000;CENTRO;Apartamento;Sete de Setembro;Pelotas RS;2;0;0;
260000;CENTRO;Apartamento;;Pelotas RS;2;0;1;114
215000;CENTRO;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;74
245000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;83
266000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;390
295000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;428
550000;CENTRO;Apartamento;;Pelotas RS;3;1;2;195
280000;CENTRO;Apartamento;;Pelotas RS;2;0;1;96
265000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;78
550000;AREAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;552
260000;AREAL;Apartamento;;Pelotas RS;3;0;1;80
290000;AREAL;Loja/Salao;;Pelotas RS;2;0;1;140
450000;AREAL;Casa;;Pelotas RS;4;1;1;170
340000;FRAGATA;Casa;R 8;Pelotas RS;5;0;4;180
130000;TRES VENDAS;Apartamento;;Pelotas RS;2;0;1;48
245000;AREAL;Apartamento;;Pelotas RS;2;0;1;54
742000;CENTRO;Casa;Rua Gal Teles;Pelotas RS;6;0;0;85
160000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;828
400000;CENTRO;Casa;Rua Tiradentes;Pelotas RS;2;1;1;150
450000;TRES VENDAS;Casa;Senador Salgado Filho;Pelotas RS;3;2;1;129
660000;CENTRO;Apartamento;;Pelotas RS;3;2;1;300
550000;CENTRO;Casa;;Pelotas RS;3;0;1;135
516000;RECANTO DE PORTUGAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;1;176
58261;Simoes Lopes;Terreno Padrao;Av. Frederico Bastos;Pelotas RS;;0;0;
745000;CENTRO;Terreno Padrao;;Pelotas RS;;0;0;
215000;Vila Princesa;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;70
270000;FRAGATA;Casa;Rua Vidal de Negreiros;Pelotas RS;2;0;4;400
130000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;43
222600;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
218000;CENTRO;Apartamento;Maestro Mendanha;Pelotas RS;2;0;1;
360000;PORTO;Casa;Rua Gal Teles;Pelotas RS;2;0;1;108
414000;CENTRO;Casa Comercial;Marechal Deodoro;Pelotas RS;;0;0;147
447990;AREAL;Terreno Padrao;Parque Una;Pelotas RS;;0;0;
215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
403000;TRES VENDAS;Casa;Otto Pommerening;Pelotas RS;3;0;1;109
275000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
690000;LARANJAL;Casa;;Pelotas RS;4;1;4;275
250000;Zona Norte;Apartamento;Cohabpel;Pelotas RS;3;0;0;60
470000;FRAGATA;Casa;Max Hackbart;Pelotas RS;3;0;2;200
275000;CENTRO;Casa;Santa Cruz;Pelotas RS;2;0;1;143
180000;CENTRO;Apartamento;;Pelotas RS;1;0;0;65
695000;CENTRO;Casa;Felix Xavier da Cunha;Pelotas RS;5;2;2;308
279000;CENTRO;Quitinete;Rua Dom Pedro II;Pelotas RS;1;0;1;48
350000;FRAGATA;Casa;Rua Jose Lins do Rego;Pelotas RS;3;0;2;161
1145000;TRES VENDAS;Terreno Padrao;Avenida Fernando Osorio;Pelotas RS;;0;1;1500
780000;CENTRO;Casa Comercial;Endereco Nao Informado;Pelotas RS;;0;0;162
280000;CENTRO;Apartamento;;Pelotas RS;2;0;1;80
850000;CENTRO;Casa;Rua Alvaro Chaves;Pelotas RS;4;1;1;655
415000;CENTRO;Casa;Alvaro Chaves;Pelotas RS;;0;0;105
415000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;5;1;1;318
890000;CENTRO;Apartamento;Rua Felix da Cunha;Pelotas RS;3;0;1;200
590000;CENTRO;Casa Comercial;Endereco Nao Informado;Pelotas RS;;0;0;72
280000;CENTRO;Apartamento;Rua Mal Deodoro;Pelotas RS;2;0;1;80
350000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;3;1;3;170
230000;TRES VENDAS;Casa;;Pelotas RS;2;0;2;85
215000;TRES VENDAS;Casa de Condominio;Endereco Nao Informado;Pelotas RS;2;2;1;65
138000;CENTRO;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;47
1400000;CENTRO;Casa Comercial;XV de Novembro;Pelotas RS;;0;0;
400000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;1;142
195000;TRES VENDAS;Casa de Condominio;;Pelotas RS;3;0;1;51
470000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;170
570000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;1;0;130
279062;FRAGATA;Casa de Condominio;Rua Dr Frederico Bastos;Pelotas RS;3;1;2;98
422000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;1;1;78
325000;CENTRO;Apartamento;Rua Gal Teles;Pelotas RS;2;0;1;90
280000;TRES VENDAS;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;72
349000;TRES VENDAS;Casa;Rua Santa Clara;Pelotas RS;2;0;2;211
320000;FRAGATA;Casa;Jose Lins do Rego;Pelotas RS;2;0;1;85
850000;RECANTO DE PORTUGAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;4;294
290000;Santa Terezinha;Casa;Sao Francisco;Pelotas RS;3;0;3;107
95000;FRAGATA;Apartamento;Iara Silva;Pelotas RS;2;0;1;80
477000;Santa Terezinha;Terreno Padrao;;Pelotas RS;;0;0;
80000;PORTO;Casa;;Pelotas RS;2;1;1;80
200000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;42
199000;RECANTO DE PORTUGAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;372
175000;CENTRO;Apartamento;;Pelotas RS;1;0;0;63
420000;LARANJAL;Casa;;Pelotas RS;3;0;3;179
455800;Zona Norte;Apartamento;;Pelotas RS;3;1;1;114
1200000;CENTRO;Apartamento;Goncalves Chaves;Pelotas RS;3;1;2;300
480000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;4;0;4;207
530000;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;3;2;0;278
335000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;2;143
350000;CENTRO;Casa;Joao Pessoa;Pelotas RS;3;0;0;
790000;INDETERMINADO;Sitio;Monte Bonito;Pelotas RS;2;0;2;581
270000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;3;0;2;144
580000;TRES VENDAS;Apartamento;Endereco Nao Informado;Pelotas RS;3;1;1;95
180000;RECANTO DE PORTUGAL;Terreno Padrao;;Pelotas RS;;0;0;
2100000;CENTRO;Casa Comercial;Rua Goncalves Chaves;Pelotas RS;4;2;4;
749000;INDETERMINADO;Casa;;Pelotas RS;3;1;2;290
145000;FRAGATA;Apartamento;;Pelotas RS;2;0;1;43
515000;Zona Norte;Apartamento;;Pelotas RS;3;1;1;117
75000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;150
330000;AREAL;Apartamento;;Pelotas RS;3;1;2;80
275728;LARANJAL;Loteamento/Condominio;Veredas Altos do Laranjal;Pelotas RS;;0;0;
400000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;3;0;1;250
325000;CENTRO;Apartamento;Rua Alm Barroso;Pelotas RS;2;0;1;87
120000;CENTRO;Conjunto Comercial/Sala;Rua Anchieta;Pelotas RS;;0;0;35
165000;CENTRO;Apartamento;;Pelotas RS;2;0;1;48
98000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;450
850000;TRES VENDAS;Casa;Rua Mario Xavier Oliveira;Pelotas RS;3;1;3;305
149000;TRES VENDAS;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;1;47
450000;INDETERMINADO;Casa;Vereador Elberto Madruga;Pelotas RS;3;1;0;170
330000;INDETERMINADO;Casa;Rua Eng Ildefonso Simoes Lopes;Pelotas RS;3;1;2;110
1750000;Zona Norte;Casa;;Pelotas RS;4;1;2;700
140000;TRES VENDAS;Apartamento;Proximo Lorenzet;Pelotas RS;2;0;1;55
750000;TRES VENDAS;Casa;Republica do Libano;Pelotas RS;4;1;0;293
700000;CENTRO;Casa;Dom Pedro II;Pelotas RS;5;0;0;
270000;PORTO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;1;87
580000;LARANJAL;Casa;Rua Sao Gabriel;Pelotas RS;3;1;2;139
590000;Zona Norte;Apartamento;;Pelotas RS;3;1;1;190
245000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;2;0;1;55
420000;CENTRO;Apartamento;;Pelotas RS;3;1;1;112
480000;LARANJAL;Casa;R Humberto Perachi da Costa;Pelotas RS;4;2;2;288
210000;CENTRO;Terreno Padrao;Benjamin Constant;Pelotas RS;;0;0;
390000;AREAL;Casa;Proximo Loja Krause;Pelotas RS;5;0;2;244
315000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;0;72
280000;LARANJAL;Casa;Rua Tres Passos;Pelotas RS;5;0;0;132
120000;TRES VENDAS;Casa;;Pelotas RS;2;0;1;54
230000;FRAGATA;Apartamento;Rua 7 de Abril;Pelotas RS;2;0;0;63
180000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;1;0;1;43
160000;CENTRO;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;3;0;0;50
345000;LARANJAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;5;125
202000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;64
140000;TRES VENDAS;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;45
110000;LARANJAL;Terreno Padrao;Rua Panambi;Pelotas RS;;0;0;
116600;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
700000;CENTRO;Casa;;Pelotas RS;4;1;1;250
150000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;1;0;0;45
170000;AREAL;Apartamento;Rua Barao de Cotegipe;Pelotas RS;2;0;1;44
560000;INDETERMINADO;Casa;Endereco Nao Informado;Pelotas RS;3;0;4;180
500000;CENTRO;Casa;;Pelotas RS;3;1;2;195
2120000;Zona Norte;Casa;Proximo Dom Joaquim;Pelotas RS;4;2;0;302
296800;LARANJAL;Casa;Rua Sao Lourenco do Sul;Pelotas RS;4;0;1;119
1500000;TRES VENDAS;Terreno Padrao;;Pelotas RS;;0;0;
250000;AREAL;Casa;;Pelotas RS;3;0;1;100
400000;CENTRO;Apartamento;Rua Voluntarios da Patria;Pelotas RS;3;0;1;105
580000;AREAL;Apartamento;Rua Felipe dos Santos;Pelotas RS;3;1;2;140
190000;TRES VENDAS;Casa de Condominio;;Pelotas RS;2;2;1;55
180000;CENTRO;Apartamento;;Pelotas RS;1;0;0;58
550000;CENTRO;Predio Inteiro;;Pelotas RS;;0;0;136
70000;TRES VENDAS;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;175
240000;Santa Terezinha;Apartamento;Sao Manoel;Pelotas RS;2;0;1;65
350000;CENTRO;Apartamento;;Pelotas RS;2;0;1;115
430000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;262
205000;FRAGATA;Apartamento;Avenida Duque de Caxias;Pelotas RS;2;0;0;65
165000;PORTO;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;44
298000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;112
250000;CENTRO;Apartamento;Jose do Patrocinio;Pelotas RS;3;0;1;98
1350000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
234000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;48
430000;LARANJAL;Casa;;Pelotas RS;3;1;3;190
280000;Colina Verde;Casa;;Pelotas RS;2;0;2;90
197000;CENTRO;Apartamento;Rua Gomes Carneiro;Pelotas RS;1;1;0;49
750000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;5;318
490000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;214
420000;AREAL;Casa;Rafael Pinto Bandeira;Pelotas RS;2;0;1;152
265000;TRES VENDAS;Casa;Engenheiro Ildefonso Simoes Lopes;Pelotas RS;3;1;2;100
580000;CENTRO;Apartamento;Voluntarios da Patria;Pelotas RS;3;0;1;195
220000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;75
170000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;99
130000;CENTRO;Conjunto Comercial/Sala;;Pelotas RS;;0;0;40
1500000;CENTRO;Terreno Padrao;General Argolo;Pelotas RS;;0;0;5000
190000;CENTRO;Apartamento;;Pelotas RS;1;0;0;68
220000;CENTRO;Apartamento;Rua Gal Argolo;Pelotas RS;1;0;1;42
218000;FRAGATA;Casa;;Pelotas RS;3;0;1;120
329000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;1;79
190000;FRAGATA;Apartamento;Rua Frontino Vieira;Pelotas RS;2;0;1;50
180000;Obelisco;Casa;;Pelotas RS;3;0;3;97
930000;TRES VENDAS;Apartamento;Rua Vereador Celso Garcia D Avila Sillas;Pelotas RS;3;3;3;360
380000;Santa Terezinha;Casa;Rua Barao de Tramandahy;Pelotas RS;3;1;0;130
398000;FRAGATA;Casa;Endereco Nao Informado;Pelotas RS;3;1;2;150
256000;CENTRO;Apartamento;Padre Anchieta;Pelotas RS;2;0;0;85
180000;CENTRO;Apartamento;Juscelino Kubitschek de Oliveira;Pelotas RS;3;0;0;
2128000;AREAL;Casa;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;3;2;2;650
422000;TRES VENDAS;Apartamento;Endereco Nao Informado;Pelotas RS;2;1;1;82
850000;LARANJAL;Casa;Jaguarao;Pelotas RS;3;1;3;250
220000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;79
310000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;97
190000;CENTRO;Apartamento;;Pelotas RS;1;1;0;35
520000;PORTO;Casa;Rua Dona Mariana;Pelotas RS;3;0;2;158
110000;LARANJAL;Terreno Padrao;Avenida Adolfo Fetter;Pelotas RS;;0;0;
800000;AREAL;Casa;Domingos Jose de Almeida;Pelotas RS;1;0;0;235
365000;CENTRO;Apartamento;;Pelotas RS;3;0;1;150
320000;CENTRO;Apartamento;Santa Tecla;Pelotas RS;2;0;1;
270000;CENTRO;Apartamento;;Pelotas RS;3;0;0;91
195000;CENTRO;Apartamento;Rua Cel Alberto Rosa;Pelotas RS;2;1;0;77
250000;TRES VENDAS;Casa;R 7;Pelotas RS;3;0;2;190
225000;TRES VENDAS;Casa;;Pelotas RS;3;0;1;160
750000;PORTO;Apartamento;Rua Cel Alberto Rosa;Pelotas RS;4;0;3;185
255000;CENTRO;Apartamento;;Pelotas RS;2;0;1;70
420000;TRES VENDAS;Casa;;Pelotas RS;1;0;2;120
1180000;AREAL;Casa;Um Sao Francisco de Paula;Pelotas RS;4;1;0;254
180000;FRAGATA;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;80
260000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;1;92
255000;LARANJAL;Loteamento/Condominio;Endereco Nao Informado;Pelotas RS;;0;0;419
190000;AREAL;Apartamento;;Pelotas RS;2;0;1;55
170000;Cascata;Chacara;Cascatinha;Pelotas RS;4;1;1;
180000;TRES VENDAS;Casa;;Pelotas RS;3;0;1;110
190000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;1;0;0;47
360000;AREAL;Casa;Avenida Ferreira Viana;Pelotas RS;3;1;1;148
