preco;bairro;tipo;endereco;cidade;quartos;suites;vagas;area
430000;CENTRO;Casa;Rua Major Cicero de Goes Monteiro;Pelotas RS;3;0;1;108
181000;AREAL;Apartamento;Endereco Nao Informado;Pelotas RS;2;0;0;58
175000;FRAGATA;Apartamento;Frontino Vieira;Pelotas RS;2;0;1;50
170000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;65
180000;TRES VENDAS;Casa;R Armando Voigt;Pelotas RS;2;0;0;47
440000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;157
400000;AREAL;Casa;Endereco Nao Informado;Pelotas RS;4;1;4;100
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
530000;TRES VENDAS;Casa;Avenida Francisco Caruccio;Pelotas RS;2;2;5;170
289463;LARANJAL;Casa de Condominio;;Pelotas RS;2;0;1;64
198000;CENTRO;Apartamento;Rua Santa Cruz;Pelotas RS;2;0;0;70
286000;AREAL;Apartamento;;Pelotas RS;2;0;1;94
319000;AREAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;525
365000;TRES VENDAS;Conjunto Comercial/Sala;Rua Com Joaquim Dias;Pelotas RS;;0;0;53
530000;CENTRO;Casa;Rafael Pinto Bandeira;Pelotas RS;3;1;2;170
60000;LARANJAL;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;360
130000;TRES VENDAS;Apartamento;;Pelotas RS;2;0;1;48
480000;CENTRO;Apartamento;;Pelotas RS;3;1;1;163
139000;FRAGATA;Apartamento;Avenida Visconde da Graca;Pelotas RS;2;0;0;51
800000;CENTRO;Casa;Rua Barao de Santa Tecla;Pelotas RS;5;1;1;150
200000;CENTRO;Conjunto Comercial/Sala;;Pelotas RS;;0;0;65
195000;CENTRO;Apartamento;Rua Cel Alberto Rosa;Pelotas RS;2;1;0;77
240000;TRES VENDAS;Casa;Rua N 1;Pelotas RS;3;0;1;164
142000;PORTO;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;47
350000;CENTRO;Apartamento;Juscelino Kubitschek de Oliveira;Pelotas RS;3;1;1;
159000;CENTRO;Apartamento;;Pelotas RS;1;0;0;45
450000;CENTRO;Apartamento;Endereco Nao Informado;Pelotas RS;3;0;0;143
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
350000;INDETERMINADO;Casa;Endereco Nao Informado;Pelotas RS;3;0;3;240
1270000;AREAL;Casa;R 26;Pelotas RS;3;1;0;159
215000;LARANJAL;Terreno Padrao;;Pelotas RS;;0;0;
130000;AREAL;Apartamento;Avenida Pres Juscelino Kubitschek de Oliveira;Pelotas RS;2;0;1;43
300000;AREAL;Casa;;Pelotas RS;2;0;2;110
159000;TRES VENDAS;Casa;;Pelotas RS;2;0;1;50
300000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;1;200
150000;AREAL;Terreno Padrao;;Pelotas RS;;0;0;
350000;TRES VENDAS;Casa;;Pelotas RS;2;1;2;200
450000;RECANTO DE PORTUGAL;Casa;Cidade de Santarem;Pelotas RS;3;1;1;102
310000;TRES VENDAS;Casa;;Pelotas RS;2;0;3;160
180000;CENTRO;Casa;;Pelotas RS;2;0;0;110
185000;CENTRO;Apartamento;;Pelotas RS;1;0;0;53
298000;AREAL;Casa;R Marilia Poliesti;Pelotas RS;3;3;2;123
200000;LARANJAL;Terreno Padrao;Avenida Adolfo Fetter;Pelotas RS;;0;0;
415000;TRES VENDAS;Apartamento;;Pelotas RS;2;1;1;78
243000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;3;0;1;64
400000;CENTRO;Casa;Endereco Nao Informado;Pelotas RS;2;0;0;71
660000;CENTRO;Apartamento;Sete de Setembro;Pelotas RS;3;1;1;
211000;CENTRO;Loft em Obras;Rua 15 de Novembro;Pelotas RS;1;0;1;44
145000;TRES VENDAS;Terreno Padrao;Endereco Nao Informado;Pelotas RS;;0;0;300
300000;LARANJAL;Casa;Montenegro;Pelotas RS;2;0;4;212
535000;CENTRO;Apartamento;Rua Mal Deodoro;Pelotas RS;3;1;2;161
265000;AREAL;Casa;R Salvador Ferreira;Pelotas RS;3;0;2;120
180000;AREAL;Apartamento;Avenida Ferreira Viana;Pelotas RS;2;0;1;44
780000;RECANTO DE PORTUGAL;Casa;Endereco Nao Informado;Pelotas RS;4;4;3;800
149000;AREAL;Terreno Padrao;Rua Adolfo Aveiro;Pelotas RS;;0;0;162
